Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2020-01-21T23:00:00Z,"EURUSD",2020-01-22T10:00:00Z,Sell,1.10822,1.10932,100000,-110,0,-110,16,126,0,"	1,2" 
2020-01-23T15:00:00Z,"EURUSD",2020-01-23T23:00:00Z,Buy,1.10682,1.10548,50000,-67,0,-135,0,135,0,"	3,4" 
2020-01-23T23:00:00Z,"EURUSD",2020-01-24T10:00:00Z,Sell,1.10548,1.10406,50000,71,0,-3,94.5,23.5,1,"	4,6" 
2020-01-27T18:00:00Z,"EURUSD",2020-01-28T02:00:00Z,Sell,1.10147,1.10253,100000,-106,0,-106,7,113,0,"	12,13" 
2020-01-28T16:00:00Z,"EURUSD",2020-01-29T10:00:00Z,Buy,1.10003,1.10016,50000,6.5,0,0,112.25,105.75,1,"	14,15" 
2020-01-29T10:00:00Z,"EURUSD",2020-01-29T18:00:00Z,Sell,1.10016,1.10055,55000,-21.45,0,-21.45,49.5,70.95,0,"	15,18" 
2020-02-06T18:00:00Z,"EURUSD",2020-02-06T23:00:00Z,Sell,1.09746,1.09852,100000,-106,0,-106,14,120,0,"	19,20" 
2020-02-07T09:00:00Z,"EURUSD",2020-02-12T18:00:00Z,Buy,1.09602,1.08782,50000,-410,0,-410,56,466,0,"	21,22" 
2020-02-13T10:00:00Z,"EURUSD",2020-02-17T01:00:00Z,Buy,1.08888,1.08354,49000,-261.66,0,-286.4,0,286.4,0,"	23,25" 
2020-02-13T10:00:00Z,"EURUSD",2020-02-17T03:00:00Z,Buy,1.08888,1.08387,1000,-5.01,0,-5.84,0,5.84,0,"	23,28" 
2020-02-13T12:00:00Z,"EURUSD",2020-02-17T03:00:00Z,Buy,1.08638,1.08387,25000,-62.75,0,-83.62,62.5,83.88,0,"	24,28" 
2020-02-17T19:00:00Z,"EURUSD",2020-02-18T00:00:00Z,Sell,1.08321,1.08375,49000,-26.46,0,-26.46,0,26.46,0,"	29,32" 
2020-02-20T10:00:00Z,"EURUSD",2020-02-20T14:00:00Z,Sell,1.07993,1.08052,49000,-28.91,0,-28.91,53.9,82.81,0,"	33,36" 
2020-02-21T01:00:00Z,"EURUSD",2020-02-21T05:00:00Z,Sell,1.07897,1.07954,49000,-27.93,0,-27.93,0,27.93,0,"	37,40" 
2020-03-03T23:00:00Z,"EURUSD",2020-03-04T03:00:00Z,Buy,1.11731,1.11608,49000,-60.27,0,-60.27,17.4,77.66,0,"	41,42" 
2020-03-04T09:00:00Z,"EURUSD",2020-03-05T10:00:00Z,Sell,1.11858,1.1174,24000,28.32,0,0,177.24,148.92,1,"	43,44" 
2020-03-05T10:00:00Z,"EURUSD",2020-03-05T11:00:00Z,Buy,1.1174,1.11634,25000,-26.5,0,-26.5,0,26.5,0,"	44,45" 
2020-03-05T11:00:00Z,"EURUSD",2020-03-19T09:00:00Z,Sell,1.11634,1.08581,24000,732.72,0,-737.88,849.96,737.88,1,"	45,48" 
2020-03-05T13:00:00Z,"EURUSD",2020-03-19T09:00:00Z,Sell,1.11884,1.08581,24000,792.72,0,-677.88,909.96,681.6,1,"	46,48" 
2020-03-19T08:00:00Z,"EURUSD",2020-03-19T09:00:00Z,Sell,1.0847,1.08581,2000,-2.22,0,-124.77,7.55,4.12,0,"	47,48" 
2020-03-19T08:00:00Z,"EURUSD",2020-03-19T09:00:00Z,Sell,1.0847,1.08331,25000,34.75,0,-1559.62,94.38,51.5,1,"	47,49" 
2020-03-19T08:00:00Z,"EURUSD",2020-03-20T18:00:00Z,Sell,1.0847,1.06708,23000,405.26,0,-1434.86,442.06,367.88,1,"	47,51" 
2020-03-20T17:00:00Z,"EURUSD",2020-03-20T18:00:00Z,Sell,1.06597,1.06708,27000,-29.97,0,-2190.1,13.23,29.97,0,"	50,51" 
