Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2020-05-15T04:00:00Z,"EURUSD",2020-05-15T13:00:00Z,Sell,1.08047,1.08304,100000,-257,0,-257,55.5,312.5,0,"	1,2" 
2020-07-13T16:00:00Z,"EURUSD",2020-07-13T20:00:00Z,Buy,1.13649,1.13492,100000,-157,0,-157,47,204,0,"	4,5" 
2020-07-14T14:00:00Z,"EURUSD",2020-08-05T16:00:00Z,Sell,1.13868,1.18976,50000,-2554,0,-2574,38.75,2612.75,0,"	6,7" 
2020-08-05T16:00:00Z,"EURUSD",2020-08-05T17:00:00Z,Buy,1.18976,1.18727,47000,-117.03,0,-117.03,0,117.03,0,"	7,8" 
2020-08-05T17:00:00Z,"EURUSD",2020-10-09T12:00:00Z,Sell,1.18727,1.17996,49000,358.19,0,-592.9,1255.38,1368.32,1,"	8,10" 
2020-08-05T17:00:00Z,"EURUSD",2021-03-21T22:00:00Z,Sell,1.18727,1.18828,1000,-1.01,0,-46.75,25.62,72.37,0,"	8,16" 
2020-08-18T13:00:00Z,"EURUSD",2021-03-21T22:00:00Z,Sell,1.19194,1.18828,23000,84.18,0,-967.84,696.67,1664.51,1,"	9,16" 
2020-08-18T13:00:00Z,"EURUSD",2021-03-22T09:00:00Z,Sell,1.19194,1.19053,24000,33.84,0,-1009.92,726.96,1736.88,1,"	9,17" 
2020-08-18T13:00:00Z,"EURUSD",2021-07-26T08:00:00Z,Sell,1.19194,1.17882,1000,13.12,0,-42.08,30.29,72.37,1,"	9,19" 
2020-10-09T15:00:00Z,"EURUSD",2021-07-26T08:00:00Z,Sell,1.18215,1.17882,24000,79.92,0,-1244.88,492,1730.76,1,"	12,19" 
2020-10-12T10:00:00Z,"EURUSD",2021-07-26T08:00:00Z,Sell,1.1799,1.17882,24000,25.92,0,-1298.88,438,1730.76,1,"	13,19" 
2020-10-12T10:00:00Z,"EURUSD",2021-08-09T00:00:00Z,Sell,1.1799,1.17507,1000,4.83,0,-54.12,18.25,72.12,1,"	13,20" 
2021-03-19T20:00:00Z,"EURUSD",2021-08-09T00:00:00Z,Sell,1.19047,1.17507,23000,354.2,0,-1001.65,662.86,1270.75,1,"	14,20" 
2021-03-19T20:00:00Z,"EURUSD",2021-08-13T10:00:00Z,Sell,1.19047,1.17501,25000,386.5,0,-1088.75,720.5,1381.25,1,"	14,22" 
2021-07-26T00:00:00Z,"EURUSD",2021-08-13T10:00:00Z,Sell,1.17725,1.17501,24000,53.76,0,-1362.48,374.4,336.96,1,"	18,22" 
2021-07-26T00:00:00Z,"EURUSD",2021-08-17T16:00:00Z,Sell,1.17725,1.17122,24000,144.72,0,-1362.48,374.4,336.96,1,"	18,23" 
2021-07-26T00:00:00Z,"EURUSD",2021-08-18T08:00:00Z,Sell,1.17725,1.17282,1000,4.43,0,-56.77,15.6,14.04,1,"	18,25" 
2021-08-13T08:00:00Z,"EURUSD",2021-08-18T08:00:00Z,Sell,1.17341,1.17282,48000,28.32,0,-2909.28,564.48,317.28,1,"	21,25" 
2021-08-13T08:00:00Z,"EURUSD",2021-08-19T01:00:00Z,Sell,1.17341,1.16907,1000,4.34,0,-60.61,11.76,6.61,1,"	21,26" 
2021-08-17T16:00:00Z,"EURUSD",2021-08-19T01:00:00Z,Sell,1.17126,1.16907,23000,50.37,0,-1443.48,221.03,51.18,1,"	24,26" 
2021-08-17T16:00:00Z,"EURUSD",2021-09-16T13:00:00Z,Sell,1.17126,1.1759,24000,-111.36,0,-1506.24,230.64,544.8,0,"	24,29" 
2021-08-17T16:00:00Z,"EURUSD",2021-09-17T08:00:00Z,Sell,1.17126,1.17816,2000,-13.8,0,-125.52,19.22,45.4,0,"	24,30" 
2021-09-16T08:00:00Z,"EURUSD",2021-09-17T08:00:00Z,Sell,1.17809,1.17816,23000,-1.61,0,-1286.39,378.12,63.48,0,"	27,30" 
2021-09-16T08:00:00Z,"EURUSD",2021-09-27T13:00:00Z,Sell,1.17809,1.17079,26000,189.8,0,-1454.18,427.44,160.03,1,"	27,32" 
2021-09-27T12:00:00Z,"EURUSD",2021-09-27T13:00:00Z,Sell,1.16913,1.17079,23000,-38.18,0,-1492.47,172.04,38.18,0,"	31,32" 
2021-09-27T12:00:00Z,"EURUSD",2021-09-28T16:00:00Z,Sell,1.16913,1.16695,24000,52.32,0,-1557.36,179.52,39.84,1,"	31,33" 
2021-09-27T12:00:00Z,"EURUSD",2021-11-05T16:00:00Z,Sell,1.16913,1.15532,2000,27.62,0,-129.78,35.34,32.35,1,"	31,35" 
2021-11-05T12:00:00Z,"EURUSD",2021-11-05T16:00:00Z,Sell,1.15327,1.15532,47000,-96.35,0,-3795.25,85.07,181.42,0,"	34,35" 
2021-11-05T12:00:00Z,"EURUSD",2021-11-10T18:00:00Z,Sell,1.15327,1.1511,2000,4.34,0,-161.5,4.34,17.18,1,"	34,36" 
2021-11-10T18:00:00Z,"EURUSD",2021-11-11T05:00:00Z,Buy,1.1511,1.14799,22000,-68.42,0,-93.39,0,93.39,0,"	36,37" 
2021-11-11T05:00:00Z,"EURUSD",2021-11-11T09:00:00Z,Sell,1.14799,1.14581,24000,52.32,0,-0.48,52.32,27.12,1,"	37,39" 
2021-11-11T05:00:00Z,"EURUSD",2021-11-18T01:00:00Z,Sell,1.14799,1.13241,3000,46.74,0,-0.06,57.26,10.66,1,"	37,48" 
2022-04-12T20:00:00Z,"EURUSD",2022-04-13T07:00:00Z,Sell,1.083,1.08456,49000,-76.44,0,-76.44,69.34,145.78,0,"	49,50" 
2022-04-14T14:00:00Z,"EURUSD",2022-06-13T00:00:00Z,Buy,1.08081,1.049,24000,-763.44,0,-1080.48,286.08,1366.56,0,"	51,52" 
2022-06-13T00:00:00Z,"EURUSD",2022-06-13T08:00:00Z,Sell,1.049,1.04685,24000,51.6,0,-3.84,58.32,24.96,1,"	52,54" 
2022-06-13T00:00:00Z,"EURUSD",2022-06-15T07:00:00Z,Sell,1.049,1.0491,1000,-0.1,0,-0.16,8.84,8.94,0,"	52,55" 
2022-06-15T07:00:00Z,"EURUSD",2022-09-01T16:00:00Z,Buy,1.0491,0.9948,24000,-1303.2,0,-1403.64,262.32,1665.96,0,"	55,56" 
2022-09-01T16:00:00Z,"EURUSD",2022-09-01T20:00:00Z,Sell,0.9948,0.9945,24000,7.2,0,-11.76,26.88,38.64,1,"	56,59" 
2022-09-02T04:00:00Z,"EURUSD",2022-09-02T07:00:00Z,Sell,0.99611,0.99768,96000,-150.72,0,-150.72,0,150.72,0,"	60,61" 
2022-09-04T22:00:00Z,"EURUSD",2022-12-02T14:00:00Z,Buy,0.99394,1.04617,48000,2507.04,0,-1920.24,2872.08,3131.28,1,"	62,64" 
2022-12-02T05:00:00Z,"EURUSD",2022-12-02T14:00:00Z,Buy,1.05245,1.04617,51000,-320.28,0,-5024.26,67.58,387.86,0,"	63,64" 
