Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2020-01-21T23:00:00Z,"EURUSD",2020-01-22T11:00:00Z,Sell,1.10822,1.10942,456000,-547.2,0,-547.2,72.96,620.16,0,"	1,2" 
2020-01-23T15:00:00Z,"EURUSD",2020-01-23T23:00:00Z,Buy,1.10668,1.10548,228000,-273.6,0,-583.68,0,583.68,0,"	3,4" 
2020-01-23T23:00:00Z,"EURUSD",2020-01-24T11:00:00Z,Sell,1.10548,1.10337,111000,234.21,0,-6.66,234.21,26.08,1,"	4,6" 
2020-01-24T11:00:00Z,"EURUSD",2020-01-24T21:00:00Z,Buy,1.10337,1.10272,59000,-38.35,0,-51.62,30.98,82.6,0,"	6,12" 
2020-01-27T18:00:00Z,"EURUSD",2020-01-28T20:00:00Z,Sell,1.10147,1.10173,364000,-94.64,0,-282.1,525.98,620.62,0,"	13,16" 
2020-01-29T10:00:00Z,"EURUSD",2020-01-29T18:00:00Z,Sell,1.10016,1.10055,521000,-203.19,0,-203.19,468.9,672.09,0,"	17,20" 
2020-02-06T18:00:00Z,"EURUSD",2020-02-07T10:00:00Z,Sell,1.09746,1.09548,183000,362.34,0,-185.74,368.74,211.36,1,"	21,23" 
2020-02-06T18:00:00Z,"EURUSD",2020-02-07T16:00:00Z,Sell,1.09746,1.09752,183000,-10.98,0,-185.74,412.66,423.64,0,"	21,24" 
2020-02-12T18:00:00Z,"EURUSD",2020-02-13T12:00:00Z,Sell,1.08782,1.08579,89000,180.67,0,-78.76,182,184.23,1,"	25,27" 
2020-02-12T18:00:00Z,"EURUSD",2020-02-14T00:00:00Z,Sell,1.08782,1.08422,89000,320.4,0,-78.76,343.98,184.23,1,"	25,35" 
2020-02-17T01:00:00Z,"EURUSD",2020-02-17T03:00:00Z,Sell,1.08354,1.08399,188000,-84.6,0,-84.6,0,84.6,0,"	36,39" 
2020-02-17T19:00:00Z,"EURUSD",2020-02-18T00:00:00Z,Sell,1.08321,1.08375,220000,-118.8,0,-118.8,0,118.8,0,"	40,43" 
2020-02-20T10:00:00Z,"EURUSD",2020-02-20T14:00:00Z,Sell,1.07993,1.08052,174000,-102.66,0,-102.66,191.4,294.06,0,"	44,47" 
2020-02-21T01:00:00Z,"EURUSD",2020-02-21T05:00:00Z,Sell,1.07897,1.07954,169000,-96.33,0,-96.33,0,96.33,0,"	48,51" 
2020-03-03T23:00:00Z,"EURUSD",2020-03-04T13:00:00Z,Buy,1.11731,1.11112,68000,-420.92,0,-420.92,24.14,445.06,0,"	52,53" 
2020-03-05T10:00:00Z,"EURUSD",2020-03-05T18:00:00Z,Buy,1.1174,1.12094,52000,184.08,0,-20.28,209.56,25.48,1,"	55,57" 
2020-03-05T10:00:00Z,"EURUSD",2020-03-05T18:00:00Z,Buy,1.1174,1.12136,51000,201.96,0,-19.89,205.53,24.99,1,"	55,59" 
2020-03-19T08:00:00Z,"EURUSD",2020-03-19T12:00:00Z,Sell,1.0847,1.07731,50000,369.5,0,0,487.5,118,1,"	60,62" 
2020-03-19T08:00:00Z,"EURUSD",2020-03-20T11:00:00Z,Sell,1.0847,1.07379,49000,534.59,0,0,941.78,783.76,1,"	60,72" 
2020-03-20T17:00:00Z,"EURUSD",2020-03-22T22:00:00Z,Sell,1.06597,1.07009,100000,-412,0,-412,50,462,0,"	73,76" 
2020-04-01T10:00:00Z,"EURUSD",2020-04-02T10:00:00Z,Sell,1.09329,1.09357,119000,-33.32,0,-370.68,164.82,526.58,0,"	77,80" 
2020-04-17T08:00:00Z,"EURUSD",2020-04-17T13:00:00Z,Sell,1.08282,1.08651,179000,-660.51,0,-660.51,151.26,811.76,0,"	81,82" 
2020-04-23T08:00:00Z,"EURUSD",2020-04-24T00:00:00Z,Buy,1.0787,1.07738,87000,-114.84,0,-189.22,355.4,544.62,0,"	83,84" 
2020-04-23T08:00:00Z,"EURUSD",2020-05-28T12:00:00Z,Buy,1.0787,1.10062,3000,65.76,0,-16.62,71.88,69.18,1,"	83,91" 
2020-04-24T08:00:00Z,"EURUSD",2020-05-28T12:00:00Z,Buy,1.07316,1.10062,44000,1208.24,0,0,1298,1014.64,1,"	86,91" 
2020-04-24T11:00:00Z,"EURUSD",2020-05-28T12:00:00Z,Buy,1.0786,1.10062,43000,946.86,0,-233.92,1034.58,991.58,1,"	87,91" 
2020-05-27T19:00:00Z,"EURUSD",2020-05-28T12:00:00Z,Buy,1.09906,1.10062,78000,121.68,0,-2020.2,280.8,214.89,1,"	88,91" 
2020-06-01T02:00:00Z,"EURUSD",2020-06-01T10:00:00Z,Buy,1.11352,1.11087,198000,-524.7,0,-524.7,270.27,794.97,0,"	92,93" 
2020-06-01T23:00:00Z,"EURUSD",2020-06-02T00:00:00Z,Buy,1.11334,1.11246,236000,-207.68,0,-207.68,0,207.68,0,"	95,98" 
2020-06-02T01:00:00Z,"EURUSD",2020-06-02T04:00:00Z,Buy,1.11326,1.11262,243000,-155.52,0,-206.55,0,206.55,0,"	99,102" 
2020-06-02T09:00:00Z,"EURUSD",2020-06-03T04:00:00Z,Buy,1.11709,1.12057,53000,184.44,0,-30.74,195.3,125.34,1,"	103,105" 
2020-06-02T09:00:00Z,"EURUSD",2020-06-03T15:00:00Z,Buy,1.11709,1.12162,53000,240.09,0,-30.74,246.72,136.74,1,"	103,108" 
