Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2020-05-15T04:00:00Z,"EURUSD",2020-05-15T13:00:00Z,Sell,1.08047,1.08304,100000,-257,0,-257,55.5,312.5,0,"	1,2" 
2020-07-13T16:00:00Z,"EURUSD",2020-07-14T01:00:00Z,Buy,1.13649,1.13392,100000,-257,0,-257,47,304,0,"	4,5" 
2020-07-14T15:00:00Z,"EURUSD",2020-08-05T16:00:00Z,Sell,1.14018,1.18976,50000,-2479,0,-2499,113.75,2612.75,0,"	6,7" 
2020-08-05T16:00:00Z,"EURUSD",2020-08-05T17:00:00Z,Buy,1.18976,1.18719,47000,-120.79,0,-120.79,0,120.79,0,"	7,8" 
2020-08-05T17:00:00Z,"EURUSD",2020-10-09T12:00:00Z,Sell,1.18719,1.17996,49000,354.27,0,-596.82,1251.46,1368.32,1,"	8,10" 
2020-08-05T17:00:00Z,"EURUSD",2021-03-22T12:00:00Z,Sell,1.18719,1.19303,1000,-5.84,0,-46.83,25.54,72.37,0,"	8,14" 
2020-08-18T13:00:00Z,"EURUSD",2021-03-22T12:00:00Z,Sell,1.19344,1.19303,47000,19.27,0,-1907.26,1494.13,3401.39,1,"	9,14" 
2020-08-18T13:00:00Z,"EURUSD",2021-03-23T15:00:00Z,Sell,1.19344,1.18678,1000,6.66,0,-40.58,31.79,72.37,1,"	9,15" 
2020-10-13T14:00:00Z,"EURUSD",2021-03-23T15:00:00Z,Sell,1.17536,1.18678,23000,-262.66,0,-1349.18,315.33,1658.64,0,"	11,15" 
2020-10-13T14:00:00Z,"EURUSD",2021-07-26T08:00:00Z,Sell,1.17536,1.17982,26000,-115.96,0,-1525.16,356.46,1874.99,0,"	11,17" 
2020-10-20T15:00:00Z,"EURUSD",2021-07-26T08:00:00Z,Sell,1.18365,1.17982,23000,88.09,0,-1158.51,506,1658.64,1,"	12,17" 
2020-10-20T15:00:00Z,"EURUSD",2021-08-09T20:00:00Z,Sell,1.18365,1.17358,1000,10.07,0,-50.37,22,72.12,1,"	12,18" 
2021-03-19T20:00:00Z,"EURUSD",2021-08-09T20:00:00Z,Sell,1.19047,1.17358,23000,388.47,0,-1001.65,662.86,1270.75,1,"	13,18" 
2021-03-19T20:00:00Z,"EURUSD",2021-08-13T12:00:00Z,Sell,1.19047,1.17602,25000,361.25,0,-1088.75,720.5,1381.25,1,"	13,20" 
2021-07-26T00:00:00Z,"EURUSD",2021-08-13T12:00:00Z,Sell,1.17725,1.17602,38000,46.74,0,-2157.26,592.8,533.52,1,"	16,20" 
2021-07-26T00:00:00Z,"EURUSD",2021-08-17T23:00:00Z,Sell,1.17725,1.17055,11000,73.7,0,-624.47,171.6,154.44,1,"	16,21" 
2021-08-13T08:00:00Z,"EURUSD",2021-08-17T23:00:00Z,Sell,1.17341,1.17055,21000,60.06,0,-1272.81,246.96,138.81,1,"	19,21" 
2021-08-13T08:00:00Z,"EURUSD",2021-08-18T19:00:00Z,Sell,1.17341,1.17382,42000,-17.22,0,-2545.62,493.92,277.62,0,"	19,23" 
2021-08-17T16:00:00Z,"EURUSD",2021-08-18T19:00:00Z,Sell,1.17126,1.17382,7000,-17.92,0,-439.32,67.27,27.2,0,"	22,23" 
2021-08-17T16:00:00Z,"EURUSD",2021-08-19T03:00:00Z,Sell,1.17126,1.16758,24000,88.32,0,-1506.24,230.64,93.24,1,"	22,24" 
2021-08-17T16:00:00Z,"EURUSD",2021-09-17T15:00:00Z,Sell,1.17126,1.17441,18000,-56.7,0,-1129.68,172.98,408.6,0,"	22,27" 
2021-09-16T08:00:00Z,"EURUSD",2021-09-17T15:00:00Z,Sell,1.17809,1.17441,6000,22.08,0,-335.58,98.64,20.64,1,"	25,27" 
2021-09-16T08:00:00Z,"EURUSD",2021-09-22T19:00:00Z,Sell,1.17809,1.17533,25000,69,0,-1398.25,411,150.12,1,"	25,36" 
2021-09-16T08:00:00Z,"EURUSD",2021-09-29T12:00:00Z,Sell,1.17809,1.16545,18000,227.52,0,-1006.74,295.92,110.79,1,"	25,39" 
2021-09-27T12:00:00Z,"EURUSD",2021-09-29T12:00:00Z,Sell,1.16913,1.16545,31000,114.08,0,-2011.59,231.88,49.44,1,"	37,39" 
2021-09-27T12:00:00Z,"EURUSD",2021-10-04T08:00:00Z,Sell,1.16913,1.16099,67000,545.38,0,-4347.63,844.54,299.16,1,"	37,56" 
2021-11-05T12:00:00Z,"EURUSD",2021-11-05T17:00:00Z,Sell,1.15327,1.15642,99000,-311.85,0,-311.85,179.19,491.04,0,"	57,58" 
2021-11-10T19:00:00Z,"EURUSD",2021-11-11T05:00:00Z,Buy,1.1496,1.14799,50000,-80.5,0,-137.25,0,137.25,0,"	59,60" 
2021-11-11T05:00:00Z,"EURUSD",2021-11-12T01:00:00Z,Sell,1.14799,1.14431,48000,176.64,0,-0.96,186.48,54.24,1,"	60,62" 
2021-11-12T01:00:00Z,"EURUSD",2021-11-18T01:00:00Z,Buy,1.14431,1.13225,1000,-12.06,0,-15.4,1.7,17.1,0,"	62,71" 
2022-04-12T20:00:00Z,"EURUSD",2022-04-13T16:00:00Z,Sell,1.083,1.08723,49000,-207.27,0,-207.27,69.34,276.6,0,"	72,73" 
2022-04-14T14:00:00Z,"EURUSD",2022-06-13T00:00:00Z,Buy,1.07932,1.049,24000,-727.68,0,-1044.72,321.84,1366.56,0,"	74,75" 
2022-06-13T00:00:00Z,"EURUSD",2022-06-13T12:00:00Z,Sell,1.049,1.04535,24000,87.6,0,-3.84,105.6,24.96,1,"	75,77" 
2022-06-13T00:00:00Z,"EURUSD",2022-06-15T07:00:00Z,Sell,1.049,1.0491,1000,-0.1,0,-0.16,8.84,8.94,0,"	75,78" 
2022-06-15T07:00:00Z,"EURUSD",2022-09-01T16:00:00Z,Buy,1.0491,0.9948,24000,-1303.2,0,-1403.64,262.32,1665.96,0,"	78,79" 
2022-09-01T16:00:00Z,"EURUSD",2022-09-01T20:00:00Z,Sell,0.9948,0.9945,24000,7.2,0,-11.76,26.88,38.64,1,"	79,82" 
2022-09-02T04:00:00Z,"EURUSD",2022-09-02T08:00:00Z,Sell,0.99611,0.99893,97000,-273.54,0,-273.54,0,273.54,0,"	83,84" 
2022-09-04T22:00:00Z,"EURUSD",2022-12-02T14:00:00Z,Buy,0.99244,1.04617,48000,2579.04,0,-1848.24,2944.08,3131.28,1,"	85,87" 
2022-12-02T05:00:00Z,"EURUSD",2022-12-02T14:00:00Z,Buy,1.05245,1.04617,51000,-320.28,0,-5024.26,67.58,387.86,0,"	86,87" 
2022-12-02T05:00:00Z,"EURUSD",2022-12-05T02:00:00Z,Buy,1.05245,1.05612,48000,176.16,0,-4728.72,209.52,365.04,1,"	86,88" 
2022-12-05T02:00:00Z,"EURUSD",2022-12-09T01:00:00Z,Sell,1.05612,1.05612,2000,0,0,-5.75,22.39,22.39,0,"	88,89" 
2022-12-09T01:00:00Z,"EURUSD",2022-12-09T13:00:00Z,Buy,1.05612,1.05554,97000,-56.26,0,-72.75,188.66,261.42,0,"	89,92" 
2023-01-23T01:00:00Z,"EURUSD",2023-01-23T08:00:00Z,Buy,1.08859,1.09226,24000,88.08,0,0,88.08,15,1,"	93,95" 
2023-01-23T01:00:00Z,"EURUSD",2023-01-23T12:00:00Z,Buy,1.08859,1.08805,25000,-13.5,0,-13.5,91.75,105.25,0,"	93,96" 
2023-02-02T01:00:00Z,"EURUSD",2023-02-02T08:00:00Z,Buy,1.10198,1.09929,49000,-131.81,0,-131.81,1.47,133.28,0,"	97,98" 
2023-03-10T17:00:00Z,"EURUSD",2023-03-10T21:00:00Z,Buy,1.06596,1.06365,49000,-113.19,0,-113.19,43.86,157.04,0,"	100,103" 
2023-07-05T20:00:00Z,"EURUSD",2023-07-06T11:00:00Z,Sell,1.08546,1.08876,49000,-161.7,0,-161.7,70.32,232.02,0,"	104,105" 
2023-08-23T08:00:00Z,"EURUSD",2023-09-14T16:00:00Z,Buy,1.08177,1.06582,24000,-382.8,0,-382.8,305.52,688.32,0,"	106,107" 
2023-09-14T16:00:00Z,"EURUSD",2023-09-15T15:00:00Z,Sell,1.06582,1.0684,25000,-64.5,0,-64.5,58.25,122.75,0,"	107,108" 
2023-09-15T15:00:00Z,"EURUSD",2023-09-22T08:00:00Z,Buy,1.0684,1.06448,24000,-94.08,0,-150,122.64,272.64,0,"	108,110" 
2023-09-21T03:00:00Z,"EURUSD",2023-09-22T08:00:00Z,Buy,1.06215,1.06448,24000,55.92,0,0,272.64,54.24,1,"	109,110" 
2023-09-22T08:00:00Z,"EURUSD",2023-09-22T15:00:00Z,Sell,1.06448,1.06707,1000,-2.59,0,-2.59,0.92,3.52,0,"	110,111" 
2023-09-22T15:00:00Z,"EURUSD",2023-10-02T20:00:00Z,Buy,1.06707,1.04801,48000,-914.88,0,-914.88,0,914.88,0,"	111,113" 
2023-09-25T14:00:00Z,"EURUSD",2023-10-13T20:00:00Z,Buy,1.06082,1.0513,24000,-228.48,0,-373.2,150,387.84,0,"	112,116" 
2023-10-04T11:00:00Z,"EURUSD",2023-10-13T20:00:00Z,Buy,1.05059,1.0513,24000,17.04,0,-127.68,395.52,323.88,1,"	114,116" 
2023-10-04T11:00:00Z,"EURUSD",2023-10-16T00:00:00Z,Buy,1.05059,1.05212,24000,36.72,0,-127.68,395.52,323.88,1,"	114,119" 
2024-03-22T20:00:00Z,"EURUSD",2024-03-25T13:00:00Z,Sell,1.08051,1.08314,48000,-126.24,0,-126.24,7.68,133.92,0,"	120,121" 
2024-03-28T00:00:00Z,"EURUSD",2024-03-28T10:00:00Z,Sell,1.08119,1.07785,26000,86.84,0,-31.46,94.51,31.46,1,"	123,125" 
2024-03-28T00:00:00Z,"EURUSD",2024-03-28T14:00:00Z,Sell,1.08119,1.08134,27000,-4.05,0,-32.67,98.14,102.2,0,"	123,126" 
2024-04-01T15:00:00Z,"EURUSD",2024-06-14T08:00:00Z,Buy,1.07683,1.07071,24000,-146.88,0,-379.68,346.92,649.2,0,"	122,127" 
2024-06-14T08:00:00Z,"EURUSD",2024-06-14T14:00:00Z,Sell,1.07071,1.06704,24000,88.08,0,0,90.6,25.32,1,"	127,129" 
2024-06-14T21:00:00Z,"EURUSD",2024-07-11T13:00:00Z,Buy,1.07082,1.08644,24000,374.88,0,-79.92,428.88,182.28,1,"	130,133" 
2024-07-11T04:00:00Z,"EURUSD",2024-07-11T13:00:00Z,Buy,1.08389,1.08644,10000,25.5,0,-164,48,22.5,1,"	131,133" 
2024-07-11T04:00:00Z,"EURUSD",2024-07-18T00:00:00Z,Buy,1.08389,1.09396,59000,594.13,0,-967.6,619.5,227.44,1,"	131,157" 
2024-07-30T16:00:00Z,"EURUSD",2024-07-31T11:00:00Z,Sell,1.0808,1.0834,49000,-127.4,0,-127.4,0,127.4,0,"	158,159" 
2024-09-24T20:00:00Z,"EURUSD",2024-09-25T16:00:00Z,Buy,1.11774,1.11424,49000,-171.5,0,-171.5,101.92,273.42,0,"	161,162" 
2024-10-23T12:00:00Z,"EURUSD",2024-11-21T13:00:00Z,Buy,1.07713,1.0527,24000,-586.32,0,-624,390.48,1014.48,0,"	160,164" 
2024-11-21T13:00:00Z,"EURUSD",2024-11-21T17:00:00Z,Sell,1.0527,1.04902,24000,88.32,0,-19.68,126.72,38.4,1,"	164,166" 
2024-11-25T00:00:00Z,"EURUSD",2024-12-18T17:00:00Z,Buy,1.0492,1.04684,24000,-56.64,0,-136.32,269.76,347.76,0,"	170,171" 
2024-12-18T17:00:00Z,"EURUSD",2024-12-18T20:00:00Z,Sell,1.04684,1.04317,48000,176.16,0,-91.68,436.56,260.4,1,"	171,173" 
2024-12-18T17:00:00Z,"EURUSD",2024-12-26T17:00:00Z,Sell,1.04684,1.04228,25000,114,0,-47.75,294.5,235.38,1,"	171,190" 
2025-01-02T17:00:00Z,"EURUSD",2025-01-03T09:00:00Z,Sell,1.02605,1.02862,97000,-249.29,0,-249.29,90.21,339.5,0,"	191,192" 
2025-01-10T14:00:00Z,"EURUSD",2025-04-20T22:00:00Z,Buy,1.02238,1.14007,48000,5649.12,0,-145.68,5776.56,1438.8,1,"	193,196" 
2025-04-17T16:00:00Z,"EURUSD",2025-04-20T22:00:00Z,Buy,1.1364,1.14007,3000,11.01,0,-351.16,18.98,4,1,"	194,196" 
2025-04-17T16:00:00Z,"EURUSD",2025-04-22T18:00:00Z,Buy,1.1364,1.14321,51000,347.31,0,-5969.8,991.18,643.88,1,"	194,205" 
