Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2020-05-15T04:00:00Z,"EURUSD",2020-05-15T08:00:00Z,Sell,1.08047,1.08172,100000,-125,0,-125,55.5,180.5,0,"	1,2" 
2020-05-15T13:00:00Z,"EURUSD",2020-07-13T19:00:00Z,Buy,1.07904,1.13522,50000,2809,0,0,3004.5,1073,1,"	3,5" 
2020-07-13T16:00:00Z,"EURUSD",2020-07-13T19:00:00Z,Buy,1.13649,1.13522,53000,-67.31,0,-3044.85,139.92,92.22,0,"	4,5" 
2020-07-13T16:00:00Z,"EURUSD",2020-07-14T12:00:00Z,Buy,1.13649,1.13792,50000,71.5,0,-2872.5,132,191.75,1,"	4,6" 
2020-07-14T12:00:00Z,"EURUSD",2020-08-05T16:00:00Z,Sell,1.13792,1.18976,2000,-103.68,0,-104.48,1.46,105.94,0,"	6,7" 
2020-08-05T16:00:00Z,"EURUSD",2020-08-05T17:00:00Z,Buy,1.18976,1.18727,101000,-251.49,0,-251.49,0,251.49,0,"	7,8" 
2020-08-05T17:00:00Z,"EURUSD",2020-10-09T12:00:00Z,Sell,1.18727,1.17996,2000,14.62,0,-24.2,51.24,55.85,1,"	8,10" 
2020-08-06T07:00:00Z,"EURUSD",2020-10-09T12:00:00Z,Sell,1.19119,1.17996,49000,550.27,0,-400.82,1447.46,1368.32,1,"	9,10" 
2020-08-06T07:00:00Z,"EURUSD",2021-03-21T22:00:00Z,Sell,1.19119,1.18903,3000,6.48,0,-128.49,88.62,217.11,1,"	9,16" 
2020-10-09T14:00:00Z,"EURUSD",2021-03-21T22:00:00Z,Sell,1.1814,1.18903,23000,-175.49,0,-1210.26,454.25,1658.64,0,"	12,16" 
2020-10-09T14:00:00Z,"EURUSD",2021-03-22T09:00:00Z,Sell,1.1814,1.19053,3000,-27.39,0,-157.86,59.25,216.34,0,"	12,17" 
2020-10-12T10:00:00Z,"EURUSD",2021-03-22T09:00:00Z,Sell,1.1799,1.19053,22000,-233.86,0,-1190.64,401.5,1586.53,0,"	13,17" 
2020-10-12T10:00:00Z,"EURUSD",2021-07-26T06:00:00Z,Sell,1.1799,1.17841,3000,4.47,0,-162.36,54.75,216.34,1,"	13,19" 
2021-03-19T20:00:00Z,"EURUSD",2021-07-26T06:00:00Z,Sell,1.19047,1.17841,49000,590.94,0,-2133.95,1412.18,2707.25,1,"	14,19" 
2021-03-19T20:00:00Z,"EURUSD",2021-08-06T15:00:00Z,Sell,1.19047,1.17582,2000,29.3,0,-87.1,57.64,110.5,1,"	14,20" 
2021-07-26T00:00:00Z,"EURUSD",2021-08-06T15:00:00Z,Sell,1.17725,1.17582,24000,34.32,0,-1362.48,374.4,336.96,1,"	18,20" 
2021-07-26T00:00:00Z,"EURUSD",2021-08-13T10:00:00Z,Sell,1.17725,1.17501,28000,62.72,0,-1589.56,436.8,393.12,1,"	18,22" 
