Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2020-01-21T23:00:00Z,"EURUSD",2020-01-22T11:00:00Z,Sell,1.10822,1.10942,912000,-1094.4,0,-1094.4,145.92,1240.32,0,"	1,2" 
2020-01-23T15:00:00Z,"EURUSD",2020-01-23T23:00:00Z,Buy,1.10668,1.10548,456000,-547.2,0,-1167.36,0,1167.36,0,"	3,4" 
2020-01-23T23:00:00Z,"EURUSD",2020-01-24T11:00:00Z,Sell,1.10548,1.10337,216000,455.76,0,-12.96,455.76,50.76,1,"	4,6" 
2020-01-24T11:00:00Z,"EURUSD",2020-01-24T21:00:00Z,Buy,1.10337,1.10272,120000,-78,0,-105,63,168,0,"	6,12" 
2020-01-27T18:00:00Z,"EURUSD",2020-01-28T20:00:00Z,Sell,1.10147,1.10173,723000,-187.98,0,-560.32,1044.74,1232.72,0,"	13,16" 
2020-01-29T10:00:00Z,"EURUSD",2020-01-29T18:00:00Z,Sell,1.10016,1.10055,1035000,-403.65,0,-403.65,931.5,1335.15,0,"	17,20" 
2020-02-06T18:00:00Z,"EURUSD",2020-02-07T10:00:00Z,Sell,1.09746,1.09548,362000,716.76,0,-367.43,729.43,418.11,1,"	21,23" 
2020-02-06T18:00:00Z,"EURUSD",2020-02-07T16:00:00Z,Sell,1.09746,1.09752,363000,-21.78,0,-368.44,818.56,840.34,0,"	21,24" 
2020-02-12T18:00:00Z,"EURUSD",2020-02-13T12:00:00Z,Sell,1.08782,1.08579,354000,718.62,0,-313.29,723.93,732.78,1,"	25,27" 
2020-02-12T18:00:00Z,"EURUSD",2020-02-14T00:00:00Z,Sell,1.08782,1.08422,354000,1274.4,0,-313.29,1368.21,732.78,1,"	25,35" 
2020-02-17T01:00:00Z,"EURUSD",2020-02-17T03:00:00Z,Sell,1.08354,1.08399,758000,-341.1,0,-341.1,0,341.1,0,"	36,39" 
2020-02-17T19:00:00Z,"EURUSD",2020-02-18T00:00:00Z,Sell,1.08321,1.08375,442000,-238.68,0,-238.68,0,238.68,0,"	40,43" 
2020-02-20T10:00:00Z,"EURUSD",2020-02-20T14:00:00Z,Sell,1.07993,1.08052,349000,-205.91,0,-205.91,383.9,589.81,0,"	44,47" 
2020-02-21T01:00:00Z,"EURUSD",2020-02-21T05:00:00Z,Sell,1.07897,1.07954,340000,-193.8,0,-193.8,0,193.8,0,"	48,51" 
2020-03-03T23:00:00Z,"EURUSD",2020-03-04T13:00:00Z,Buy,1.11731,1.11112,137000,-848.03,0,-848.03,48.64,896.66,0,"	52,53" 
2020-03-05T10:00:00Z,"EURUSD",2020-03-05T18:00:00Z,Buy,1.1174,1.12094,103000,364.62,0,-40.17,415.09,50.47,1,"	55,57" 
2020-03-05T10:00:00Z,"EURUSD",2020-03-05T18:00:00Z,Buy,1.1174,1.12136,103000,407.88,0,-40.17,415.09,50.47,1,"	55,59" 
2020-03-19T08:00:00Z,"EURUSD",2020-03-19T12:00:00Z,Sell,1.0847,1.07575,82000,733.9,0,0,799.5,65.6,1,"	60,62" 
2020-03-19T08:00:00Z,"EURUSD",2020-03-20T11:00:00Z,Sell,1.0847,1.07379,83000,905.53,0,0,1595.26,1327.58,1,"	60,72" 
2020-03-20T17:00:00Z,"EURUSD",2020-03-22T22:00:00Z,Sell,1.06597,1.07009,131000,-539.72,0,-539.72,65.5,605.22,0,"	73,76" 
2020-04-01T10:00:00Z,"EURUSD",2020-04-02T10:00:00Z,Sell,1.09329,1.09357,240000,-67.2,0,-747.6,332.4,1062,0,"	77,80" 
2020-04-17T08:00:00Z,"EURUSD",2020-04-17T13:00:00Z,Sell,1.08282,1.08651,361000,-1332.09,0,-1332.09,305.04,1637.14,0,"	81,82" 
2020-04-23T08:00:00Z,"EURUSD",2020-04-24T00:00:00Z,Buy,1.0787,1.07738,180000,-237.6,0,-391.5,735.3,1126.8,0,"	83,84" 
2020-04-24T00:00:00Z,"EURUSD",2020-04-24T08:00:00Z,Sell,1.07738,1.07316,167000,704.74,0,0,704.74,87.68,1,"	84,86" 
2020-04-24T08:00:00Z,"EURUSD",2020-05-28T12:00:00Z,Buy,1.07316,1.10062,7000,192.22,0,0,206.5,161.42,1,"	86,91" 
2020-04-24T11:00:00Z,"EURUSD",2020-05-28T12:00:00Z,Buy,1.0786,1.10062,173000,3809.46,0,-941.12,4162.38,3989.38,1,"	87,91" 
2020-05-27T19:00:00Z,"EURUSD",2020-05-28T12:00:00Z,Buy,1.09906,1.10062,319000,497.64,0,-8262.1,1148.4,878.84,1,"	88,91" 
